Time	vincentr21	Michael Tardibuono	Benjamin Wuethrich	374494	Marc-François Cochaux-Laberge	Chuck Walker	Daniel Shanker	ellen-h	Stefan Tihanyi	dubyte	Thomas Fix	Adam Harvie	frigley1	Ricky Kwan	Noah Kipin	Peter Chau	Marie Payne
1544681015	?	?	?	1188	?	?	?	?	?	?	?	?	?	?	?	?	?
1544681019	?	1124	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544682254	875	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544682639	?	?	?	?	?	?	?	?	?	?	?	?	1092	?	?	?	?
1544683045	?	?	?	?	?	1125	?	?	?	?	?	?	?	?	?	?	?
1544683671	?	?	?	?	?	?	?	?	?	?	?	?	1141	?	?	?	?
1544683874	?	?	?	?	?	1173	?	?	?	?	?	?	?	?	?	?	?
1544684145	?	1171	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544684986	?	?	1099	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544686190	?	?	1145	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544764432	?	?	1196	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544764447	?	?	?	?	?	1223	?	?	?	?	?	?	?	?	?	?	?
1544764773	?	?	?	1237	?	?	?	?	?	?	?	?	?	?	?	?	?
1544764921	?	1219	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544765352	?	1270	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544765667	?	?	?	?	?	1273	?	?	?	?	?	?	?	?	?	?	?
1544765693	?	?	?	?	?	?	?	?	?	?	?	?	1188	?	?	?	?
1544765694	?	?	1245	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544765708	921	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544766524	?	?	?	?	?	?	?	?	?	?	?	?	1236	?	?	?	?
1544766674	968	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544766775	?	?	?	1283	?	?	?	?	?	?	?	?	?	?	?	?	?
1544812762	1011	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544825985	?	?	?	?	?	?	918	?	?	?	?	?	?	?	?	?	?
1544828142	?	?	?	?	?	?	963	?	?	?	?	?	?	?	?	?	?
1544858033	?	1321	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544859168	?	1372	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544864889	?	?	?	?	?	1323	?	?	?	?	?	?	?	?	?	?	?
1544865291	?	?	?	?	?	1373	?	?	?	?	?	?	?	?	?	?	?
1544866951	?	?	?	?	?	?	?	?	?	?	?	?	1285	?	?	?	?
1544867836	?	?	?	?	?	?	?	?	?	?	?	?	1334	?	?	?	?
1544894990	?	?	?	?	?	?	?	637	?	?	?	?	?	?	?	?	?
1544895064	?	?	?	?	?	?	?	679	?	?	?	?	?	?	?	?	?
1544915162	?	?	?	1331	?	?	?	?	?	?	?	?	?	?	?	?	?
1544916340	?	?	?	1379	?	?	?	?	?	?	?	?	?	?	?	?	?
1544923064	?	?	1292	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544925702	?	?	1339	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544938378	?	?	1390	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544938457	1061	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544938806	?	?	?	?	?	1422	?	?	?	?	?	?	?	?	?	?	?
1544939690	1112	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544940090	?	?	?	?	?	1472	?	?	?	?	?	?	?	?	?	?	?
1544940927	?	?	1439	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544940996	?	?	?	?	?	?	?	?	?	?	?	?	1382	?	?	?	?
1544941682	?	1419	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1544942171	?	?	?	?	?	?	?	?	?	?	?	?	1430	?	?	?	?
1544942341	?	?	?	1425	?	?	?	?	?	?	?	?	?	?	?	?	?
1544943483	?	?	?	1472	?	?	?	?	?	?	?	?	?	?	?	?	?
1544945313	?	1465	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545028607	?	?	?	1523	?	?	?	?	?	?	?	?	?	?	?	?	?
1545028634	?	1515	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545028673	?	1566	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545029044	?	?	?	?	?	?	?	?	?	?	?	?	1479	?	?	?	?
1545029266	?	?	?	?	?	?	?	?	?	?	?	?	1529	?	?	?	?
1545029400	?	?	?	1572	?	?	?	?	?	?	?	?	?	?	?	?	?
1545030107	?	?	1487	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545030166	?	?	1535	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545031611	1159	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545031996	1206	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545032343	?	?	?	?	?	1518	?	?	?	?	?	?	?	?	?	?	?
1545032372	?	?	?	?	?	1564	?	?	?	?	?	?	?	?	?	?	?
1545110017	?	?	?	?	?	1615	?	?	?	?	?	?	?	?	?	?	?
1545110356	?	?	?	?	?	?	?	?	?	?	?	?	1579	?	?	?	?
1545110401	?	1615	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545110825	?	?	?	?	?	?	?	?	?	?	?	?	1630	?	?	?	?
1545110913	?	1665	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545110944	?	?	?	?	?	1664	?	?	?	?	?	?	?	?	?	?	?
1545110977	1254	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545111304	?	?	?	1619	?	?	?	?	?	?	?	?	?	?	?	?	?
1545111406	?	?	1581	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545111523	1302	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545112277	?	?	1628	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545113737	?	?	?	1665	?	?	?	?	?	?	?	?	?	?	?	?	?
1545196793	?	?	1679	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545197317	?	?	?	?	?	1714	?	?	?	?	?	?	?	?	?	?	?
1545197587	1351	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545197648	?	?	?	1713	?	?	?	?	?	?	?	?	?	?	?	?	?
1545197777	?	1712	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545200245	?	?	?	?	?	?	?	?	?	?	?	?	1676	?	?	?	?
1545200586	?	?	1730	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545200997	?	?	?	?	?	1764	?	?	?	?	?	?	?	?	?	?	?
1545202837	?	?	?	?	?	?	?	?	?	?	?	?	1725	?	?	?	?
1545203937	?	?	?	1761	?	?	?	?	?	?	?	?	?	?	?	?	?
1545204212	?	1759	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545281302	?	?	?	?	?	?	?	?	?	431	?	?	?	?	?	?	?
1545285286	?	?	?	?	?	1815	?	?	?	?	?	?	?	?	?	?	?
1545285570	?	?	?	?	?	1866	?	?	?	?	?	?	?	?	?	?	?
1545286019	?	?	?	1811	?	?	?	?	?	?	?	?	?	?	?	?	?
1545286141	?	?	?	1861	?	?	?	?	?	?	?	?	?	?	?	?	?
1545289259	?	1808	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545289335	?	1857	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
1545367830	?	?	?	?	?	?	?	?	?	?	?	?	1773	?	?	?	?
1545367890	?	?	?	?	?	?	?	?	?	?	?	?	1821	?	?	?	?
1545369407	?	?	?	?	?	?	?	?	?	?	?	?	1872	?	?	?	?
1545369871	?	?	?	?	?	1916	?	?	?	?	?	?	?	?	?	?	?
1545370147	?	?	?	1910	?	?	?	?	?	?	?	?	?	?	?	?	?
1545373314	?	?	?	?	?	1967	?	?	?	?	?	?	?	?	?	?	?
1545374266	?	?	?	?	?	?	?	?	?	?	?	?	1922	?	?	?	?
1545375456	?	?	?	1959	?	?	?	?	?	?	?	?	?	?	?	?	?
1545378344	?	1905	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
